Ano;Município (Código);Município;area_lavouras;despesa_insumos;despesa_lavouras;despesa_terras;CR_sicor;pessoal_ocupado;qtde_maquinas;qtde_tratores;receita_lavouras;uso_adubos;uso_agrotoxicos;uso_assistencia_tecnica;uso_corretivos;producao;pib_agro
2017;1100296;Santa Luzia D'Oeste - RO;7510,8;14211;6915;8131;23969536,87;3214;304;230;18523;269;609;271;80;81999;56678
2017;1100304;Vilhena - RO;36520,8;99730;106154;94353;93623857,14;4970;869;561;159727;489;672;423;484;263125;162728
2017;1100320;São Miguel do Guaporé - RO;22650,1;44517;41770;35098;47943753,02;6938;499;333;70978;959;1659;280;562;166658;223964
2017;1100338;Nova Mamoré - RO;2398,7;29240;1329;NA;95463240,08;6366;262;219;3206;91;605;225;106;118887;183651
2017;1100346;Alvorada D'Oeste - RO;2726,6;21672;5656;13073;43828203,39;6026;307;224;14479;416;1165;402;244;82346;82744
2017;1100379;Alto Alegre dos Parecis - RO;8918,4;20949;19066;15011;30262980,48;7445;270;242;46009;1214;1633;363;162;98983;174974
2017;1100403;Alto Paraíso - RO;13861,4;26740;22107;16969;66714560,08;6989;351;257;32834;315;1303;215;236;90113;87557
2017;1100452;Buritis - RO;3231,7;26502;3240;12742;76514993,36;9261;255;243;8374;208;1526;237;174;131275;189480
2017;1100502;Novo Horizonte do Oeste - RO;4432,3;11864;7545;8648;20401261,77;4172;163;129;16646;409;902;378;199;51228;63004
2017;1100601;Cacaulândia - RO;1538,4;25652;688;12160;49551687,53;2707;171;148;2919;59;619;309;57;124898;74769
2017;1100700;Campo Novo de Rondônia - RO;2364,0;21054;1406;6913;55388594,00;5857;138;120;3333;85;972;117;77;105822;124132
2017;1100809;Candeias do Jamari - RO;15292,0;32262;19998;21933;54561509,76;3793;405;315;22963;182;362;262;220;71868;85428
2017;1100908;Castanheiras - RO;1999,0;10047;5657;NA;11386236,56;1345;141;108;8698;124;262;183;96;32484;75537
2017;1100924;Chupinguaia - RO;33443,9;105204;56920;NA;126762410,63;3331;508;362;72179;82;326;363;80;511029;105950
2017;1100940;Cujubim - RO;16856,1;36094;26325;30473;37835288,74;5678;392;297;31641;207;975;327;182;110175;84130
2017;1101005;Governador Jorge Teixeira - RO;1477,7;15331;754;3588;42324915,18;4644;110;93;3257;56;661;316;45;100341;95410
2017;1101104;Itapuã do Oeste - RO;2109,6;12487;1614;7104;15837450,51;3079;196;168;13338;100;451;325;169;55495;40430
2017;1101203;Ministro Andreazza - RO;2569,1;10480;3614;NA;16905543,88;3616;78;72;11846;416;832;190;162;55468;84837
2017;1101302;Mirante da Serra - RO;1567,9;10651;1683;4073;23034869,92;3516;108;79;5388;153;517;269;86;48127;63373
2017;1101401;Monte Negro - RO;1665,1;18574;804;NA;34519679,32;3978;178;159;2206;89;920;317;120;71526;88242
2017;1101435;Nova União - RO;1085,2;9457;1113;3861;27669893,72;4569;67;56;3098;76;679;409;120;59151;55705
2017;1101450;Parecis - RO;1551,0;16351;NA;7458;29602093,32;2491;199;153;NA;68;175;174;61;79009;46897
2017;1101468;Pimenteiras do Oeste - RO;21952,6;47756;65817;49700;64211745,03;1281;460;257;110071;96;176;173;78;134656;61868
2017;1101476;Primavera de Rondônia - RO;917,7;8554;1124;NA;5065560,75;979;164;121;1535;85;280;156;99;34203;25151
2017;1101484;São Felipe D'Oeste - RO;2195,3;5897;3570;4078;9142946,12;2260;141;98;10396;190;440;262;89;34723;32279
2017;1101492;São Francisco do Guaporé - RO;4765,2;32675;7605;17165;33350603,27;6136;427;318;11154;209;739;213;126;124104;132787
2017;1101500;Seringueiras - RO;7135,5;19328;NA;12126;31287102,45;5166;220;159;NA;347;862;148;188;112441;88836
2017;1101559;Teixeirópolis - RO;435,3;6633;237;2712;13810838,87;2273;55;45;997;84;481;202;49;42319;34815
2017;1101609;Theobroma - RO;2179,8;17242;1716;6405;35638731,01;5219;222;159;4849;92;495;191;80;97560;89676
2017;1101708;Urupá - RO;570,0;9326;698;NA;27280447,83;4229;41;38;2711;86;642;207;70;55861;72654
2017;1101757;Vale do Anari - RO;2916,0;13390;1768;NA;20441817,71;5544;174;135;4574;176;723;324;177;54453;48687
2017;1101807;Vale do Paraíso - RO;878,3;8772;264;NA;16178295,78;2974;114;90;740;55;520;133;51;55633;69290
2017;1200013;Acrelândia - AC;4514,2;10502;4794;8205;18361065,36;4198;247;199;12139;199;1040;121;73;47638;71992
2017;1200054;Assis Brasil - AC;840,1;NA;487;NA;8464667,41;1682;4;4;1843;3;3;84;NA;9410;22124
2017;1200104;Brasiléia - AC;4180,6;12592;3928;5572;22652192,66;8000;207;168;12595;243;569;270;99;79841;72911
2017;1200138;Bujari - AC;2194,2;14038;3157;NA;17438080,48;4679;176;148;6300;107;133;171;46;73939;70748
2017;1200179;Capixaba - AC;4662,7;9116;10090;NA;5847384,96;3980;162;111;14111;94;179;67;39;58169;70954
2017;1200203;Cruzeiro do Sul - AC;6868,0;6400;8559;1635;3482037,07;9421;61;43;41979;360;234;192;83;68176;67010
2017;1200252;Epitaciolândia - AC;2311,0;5603;2912;NA;6046906,25;4525;95;76;7665;154;443;34;50;50669;45565
2017;1200302;Feijó - AC;6121,9;3215;9097;1136;5727275,23;12276;7;7;23737;11;95;510;7;55846;67066
2017;1200328;Jordão - AC;1237,9;NA;998;NA;67500,00;1841;NA;NA;NA;1;13;28;NA;8397;11981
2017;1200336;Mâncio Lima - AC;2048,3;2268;2463;NA;2876336,23;3660;12;10;13475;80;46;181;37;24119;39397
2017;1200344;Manoel Urbano - AC;1768,2;1372;2184;NA;1167946,05;2944;19;17;4932;5;155;25;5;8266;21253
2017;1200351;Marechal Thaumaturgo - AC;3185,8;513;2618;NA;NA;4740;6;NA;14360;40;135;382;4;22939;42075
2017;1200385;Plácido de Castro - AC;4554,8;16098;3239;9704;19343142,65;4728;332;241;7755;153;654;115;69;63720;64312
2017;1200393;Porto Walter - AC;1726,2;357;1741;65;57255,41;2511;NA;NA;9446;64;NA;200;2;18226;17905
2017;1200401;Rio Branco - AC;8389,0;26634;9605;12029;42469983,26;14004;393;299;27374;733;940;443;193;188905;165637
2017;1200427;Rodrigues Alves - AC;3327,7;2154;3396;233;1219916,08;4865;20;19;17587;33;85;145;20;28099;41639
2017;1200435;Santa Rosa do Purus - AC;1047,2;NA;450;NA;NA;2954;NA;NA;4683;NA;23;102;1;4562;13669
2017;1200450;Senador Guiomard - AC;4101,1;20995;5240;NA;21217139,78;4790;366;276;11711;334;577;218;110;100872;95354
2017;1200500;Sena Madureira - AC;3498,8;11828;4052;5819;15900584,84;10404;177;134;11209;44;1214;105;33;78981;109486
2017;1200609;Tarauacá - AC;8015,1;NA;10897;NA;11567726,00;10120;28;26;23366;29;163;189;8;62246;84917
2017;1200708;Xapuri - AC;3320,4;7901;2252;4095;10799221,80;5520;193;152;6409;134;508;251;34;64024;67178
2017;1200807;Porto Acre - AC;3114,3;11058;3358;6437;11587891,42;4672;256;196;12137;125;373;437;48;99687;79015
2017;1300029;Alvarães - AM;5105,3;193;2920;34;11909,60;5153;NA;NA;13754;59;65;151;35;23475;56929
2017;1300060;Amaturá - AM;527,8;168;508;NA;NA;2515;NA;NA;4960;41;18;73;3;7649;13060
2017;1300086;Anamã - AM;1920,9;255;1865;NA;163326,42;1645;NA;NA;9600;103;125;78;66;9448;33518
2017;1300102;Anori - AM;2053,4;345;3800;194;NA;2931;8;7;11682;79;113;98;33;14758;83189
2017;1300144;Apuí - AM;2256,9;11387;2488;6247;4108349,40;3695;159;140;4189;101;392;283;60;46310;55955
2017;1300201;Atalaia do Norte - AM;10391,2;NA;609;NA;NA;5080;NA;NA;7984;9;1;28;3;8668;24585
2017;1300300;Autazes - AM;3820,1;3858;7078;1380;1024602,96;10047;64;53;22713;326;86;210;217;61544;82955
2017;1300409;Barcelos - AM;1603,6;NA;2883;NA;57347,68;2747;4;4;10474;91;12;87;31;18453;13512
2017;1300508;Barreirinha - AM;3212,3;3163;9723;NA;1047768,56;7314;10;8;9970;139;27;60;8;33753;50106
2017;1300607;Benjamin Constant - AM;2446,7;861;2058;NA;NA;4007;NA;NA;16186;117;62;160;12;20412;27254
2017;1300631;Beruri - AM;2484,0;610;3392;NA;NA;3756;NA;NA;15225;111;263;117;90;18203;14752
2017;1300680;Boa Vista do Ramos - AM;2341,4;782;1572;NA;543393,12;6098;NA;NA;6335;157;42;63;9;16986;18685
2017;1300706;Boca do Acre - AM;9742,7;10240;7562;NA;7488729,47;9425;166;147;20422;90;653;210;28;89524;84143
2017;1300805;Borba - AM;5406,0;832;4195;1045;9910,07;8701;21;9;17461;175;169;231;48;32958;45989
2017;1300839;Caapiranga - AM;541,6;60;388;23;NA;620;NA;NA;3307;9;12;17;2;4667;56210
2017;1300904;Canutama - AM;1682,7;4499;4251;NA;5507344,31;4168;167;143;13400;139;53;80;102;23605;15964
2017;1301001;Carauari - AM;3701,7;1010;3513;NA;NA;4026;6;4;16426;40;22;56;35;22190;86139
2017;1301100;Careiro - AM;5533,4;4507;5979;1748;614372,19;8397;64;50;19647;586;190;213;268;30772;47797
2017;1301159;Careiro da Várzea - AM;2904,8;3046;2112;2117;41895,10;5976;56;55;8458;901;814;184;153;48349;164719
2017;1301209;Coari - AM;6263,9;664;6479;477;646624,77;8782;4;3;31865;164;184;125;46;40542;142084
2017;1301308;Codajás - AM;4265,3;460;3448;235;327301,20;3878;NA;NA;17515;84;163;326;52;21079;302525
2017;1301407;Eirunepé - AM;3079,6;640;3443;NA;NA;4641;10;4;10116;22;176;341;8;17556;207781
2017;1301506;Envira - AM;2724,7;906;2991;NA;NA;5885;4;4;9258;13;10;305;5;23451;37634
2017;1301605;Fonte Boa - AM;506,4;215;3036;NA;NA;4683;NA;NA;6095;42;94;168;12;12024;23046
2017;1301654;Guajará - AM;1366,8;2295;2557;NA;3050821,01;4124;31;24;7710;8;253;86;12;26160;18610
2017;1301704;Humaitá - AM;2197,2;4664;4956;1939;1569827,18;2571;109;77;14067;123;108;99;55;23294;122536
2017;1301803;Ipixuna - AM;9160,9;1011;2201;642;116017,53;4233;NA;NA;11240;219;33;156;3;19534;11558
2017;1301852;Iranduba - AM;3032,0;14898;8905;5715;1853043,17;5700;317;299;24440;1091;649;415;675;84032;176759
2017;1301902;Itacoatiara - AM;12382,0;11016;15055;4769;6347502,62;10505;165;150;53097;1411;428;376;569;92674;468832
2017;1301951;Itamarati - AM;2229,6;NA;880;NA;NA;2060;NA;NA;9949;3;14;235;1;6781;28781
2017;1302009;Itapiranga - AM;360,5;854;600;NA;NA;746;NA;NA;2182;41;14;52;20;3743;40930
2017;1302108;Japurá - AM;390,8;283;398;NA;36283,55;1256;NA;NA;2872;9;4;44;6;3203;16776
2017;1302207;Juruá - AM;1412,8;NA;911;NA;NA;3176;NA;NA;2804;21;53;7;3;12606;18548
2017;1302306;Jutaí - AM;2239,6;303;3034;192;NA;4245;NA;NA;10269;400;7;28;11;15018;82709
2017;1302405;Lábrea - AM;3046,3;10217;5564;NA;8829706,97;9397;254;220;17979;80;177;181;29;92578;214242
2017;1302504;Manacapuru - AM;6547,8;8817;14346;NA;822955,66;8384;86;67;40124;761;761;236;309;52180;735631
2017;1302553;Manaquiri - AM;3246,4;780;2126;NA;NA;4784;6;4;10495;112;69;208;40;16451;81173
2017;1302603;Manaus - AM;3974,7;40095;10802;6841;56786111,56;7949;215;191;23921;1392;365;499;1029;153033;218517
2017;1302702;Manicoré - AM;5539,0;14830;9552;6962;11537722,42;10836;181;168;31277;256;446;251;166;96279;146693
2017;1302801;Maraã - AM;1262,7;186;2752;NA;NA;2626;NA;NA;11672;14;10;33;13;16599;40683
2017;1302900;Maués - AM;6521,0;3042;7574;941;1670372,55;8447;22;22;24748;444;188;231;116;34476;53142
2017;1303007;Nhamundá - AM;4079,8;1255;2171;354;463201,54;7388;NA;NA;8549;118;103;55;17;24629;20889
2017;1303106;Nova Olinda do Norte - AM;4573,3;837;3147;275;55152,43;6396;3;NA;20576;406;121;289;72;20818;29419
2017;1303205;Novo Airão - AM;560,8;NA;2058;NA;176566,87;1740;3;NA;3244;21;7;40;15;3791;14717
2017;1303304;Novo Aripuanã - AM;3648,1;1842;2953;1368;718193,68;3557;56;52;11567;162;147;150;76;29673;46619
2017;1303403;Parintins - AM;6593,0;2758;5386;NA;1634588,79;11422;27;21;25475;515;514;268;72;59192;270295
2017;1303502;Pauini - AM;6960,4;NA;701;NA;NA;5281;NA;NA;7191;2;1;255;NA;18165;36156
2017;1303536;Presidente Figueiredo - AM;10308,9;21754;44859;15386;797468,32;7692;265;227;61662;1241;489;391;1117;93567;68532
2017;1303569;Rio Preto da Eva - AM;4734,0;17253;23500;7034;1760096,35;3285;240;200;46167;784;180;439;699;69985;139659
2017;1303601;Santa Isabel do Rio Negro - AM;365,9;NA;1574;NA;NA;3962;NA;NA;6034;12;2;21;9;8701;12304
2017;1303700;Santo Antônio do Içá - AM;696,5;173;1011;NA;NA;3329;NA;NA;7461;14;21;33;5;5896;30262
2017;1303809;São Gabriel da Cachoeira - AM;9460,3;368;4440;NA;17575,40;14476;NA;NA;15702;213;22;12;22;19585;18025
2017;1303908;São Paulo de Olivença - AM;1109,5;263;1273;NA;NA;6026;NA;NA;7987;66;44;57;13;9491;27052
2017;1303957;São Sebastião do Uatumã - AM;807,4;477;869;NA;50017,69;2443;7;7;5006;80;30;97;37;11572;23911
2017;1304005;Silves - AM;1048,6;853;865;103;NA;2035;13;8;5025;94;17;59;45;8467;33549
2017;1304062;Tabatinga - AM;1517,9;1108;3559;NA;NA;8779;9;9;14415;133;33;208;57;14425;17748
2017;1304104;Tapauá - AM;1238,6;215;1127;NA;NA;4047;12;12;7971;27;10;84;8;23601;206634
2017;1304203;Tefé - AM;4073,6;1102;7340;NA;663853,76;11749;5;5;28180;320;140;100;83;55569;149900
2017;1304237;Tonantins - AM;590,1;246;329;NA;NA;1361;NA;NA;2002;3;5;21;2;4470;12097
2017;1304260;Uarini - AM;7334,4;185;2486;32;NA;4510;3;NA;15527;8;5;26;9;29893;85659
2017;1304302;Urucará - AM;1642,2;1654;2023;570;NA;2736;9;8;7428;155;28;231;67;15607;175008
2017;1304401;Urucurituba - AM;1220,2;489;892;162;NA;3296;5;5;3506;57;31;55;16;9969;20951
2017;1400027;Amajari - RR;6279,0;6787;2069;1199;13013427,94;6745;120;93;4326;84;24;312;34;79987;32653
2017;1400050;Alto Alegre - RR;20767,5;28534;25436;19086;22166769,29;6818;327;212;55208;362;120;107;107;108516;71532
2017;1400100;Boa Vista - RR;14268,6;30721;23408;16621;14153102,45;4350;314;212;28149;829;362;282;589;68894;137439
2017;1400159;Bonfim - RR;22523,6;27447;52788;NA;14511603,90;4657;327;192;69593;217;131;111;143;111815;97178
2017;1400175;Cantá - RR;6116,9;13147;7420;5260;5924901,69;8115;362;274;23615;567;312;210;227;105562;26423
2017;1400209;Caracaraí - RR;4998,2;5570;3365;1890;4872615,82;4081;113;88;8077;149;116;78;66;26495;33687
2017;1400233;Caroebe - RR;5191,9;5459;7337;3035;7978876,02;3296;120;107;19070;147;236;126;47;38470;36952
2017;1400282;Iracema - RR;7465,3;7911;14178;NA;10198394,60;2898;119;90;15098;161;144;83;61;45650;20261
2017;1400308;Mucajaí - RR;3021,5;14834;4536;6858;21100626,34;3136;221;175;8548;210;208;175;93;67781;38456
2017;1400407;Normandia - RR;2587,8;4218;6493;3120;NA;4245;39;18;15075;323;47;160;38;17700;19910
2017;1400456;Pacaraima - RR;2138,2;645;640;NA;NA;1461;6;6;3227;40;26;172;26;9562;7429
2017;1400472;Rorainópolis - RR;4253,8;11423;12049;6451;5351055,33;6454;161;139;15276;457;457;224;275;34116;45506
2017;1400506;São João da Baliza - RR;4613,1;2802;3910;1653;1595532,68;2021;112;99;7018;68;133;88;40;15579;14710
2017;1400605;São Luiz - RR;907,5;3486;1650;NA;1530832,71;1325;44;41;3616;43;90;34;31;16038;15868
2017;1400704;Uiramutã - RR;1594,8;363;1212;NA;NA;7468;NA;NA;6160;120;18;65;4;12696;11134
2017;1500107;Abaetetuba - PA;53808,4;5461;20055;1879;1195213,73;32227;67;55;91504;1730;90;624;71;220781;168016
2017;1500131;Abel Figueiredo - PA;350,9;3035;NA;NA;2294210,72;395;25;13;NA;19;23;4;10;14251;19371
2017;1500206;Acará - PA;27377,8;5279;30504;4676;4777938,22;19330;182;168;115302;1312;151;258;226;155879;541088
2017;1500305;Afuá - PA;8805,9;897;2755;NA;904345,43;12128;NA;NA;12231;112;70;66;8;96260;133203
2017;1500347;Água Azul do Norte - PA;3159,2;38106;3603;26129;41123236,75;6693;496;355;7764;134;755;103;36;190932;147165
2017;1500404;Alenquer - PA;26676,6;5967;10689;3833;6218638,18;24238;153;141;49101;469;613;322;60;107972;266753
2017;1500503;Almeirim - PA;8240,6;1387;1826;NA;2465607,20;4230;14;8;9478;36;25;259;21;32905;71865
2017;1500602;Altamira - PA;35617,9;48706;31802;26286;19139481,94;13962;914;782;98663;341;1112;199;242;296922;245254
2017;1500701;Anajás - PA;18549,7;NA;2270;NA;NA;2900;NA;NA;5170;11;2;3;10;20548;38740
2017;1500800;Ananindeua - PA;688,0;350;503;NA;9909303,97;697;9;9;1841;137;15;91;28;5443;11088
2017;1500859;Anapu - PA;7910,8;9042;7487;5062;14734022,16;7807;106;95;19552;110;248;110;55;70033;94524
2017;1500909;Augusto Corrêa - PA;6409,9;2502;5883;NA;546599,39;14588;71;43;35209;1113;791;63;143;60504;76643
2017;1500958;Aurora do Pará - PA;14349,9;8649;6212;3762;5649621,63;6430;224;173;19198;782;329;42;151;56890;95371
2017;1501006;Aveiro - PA;8264,1;1448;2910;2433;75000,00;4739;17;12;26564;14;18;13;6;31580;63576
2017;1501105;Bagre - PA;1517,6;NA;1701;NA;NA;3439;NA;NA;11416;6;2;2;2;16465;53732
2017;1501204;Baião - PA;20250,5;4498;12698;2657;2947863,49;12258;73;62;34463;1015;248;118;610;64664;110001
2017;1501253;Bannach - PA;NA;20722;NA;NA;28457737,01;1544;151;129;NA;13;115;23;8;28805;47504
2017;1501303;Barcarena - PA;10819,0;2253;30300;2262;NA;9453;25;22;89164;412;38;55;64;145577;94650
2017;1501402;Belém - PA;3603,6;NA;812;NA;263846,50;1451;NA;NA;8300;19;1;16;7;9052;79110
2017;1501451;Belterra - PA;13846,7;11191;17323;NA;7083467,93;1903;191;97;31059;114;41;78;38;34119;44274
2017;1501501;Benevides - PA;407,7;1301;374;NA;1811242,54;466;7;7;1848;182;9;20;18;41997;3717
2017;1501576;Bom Jesus do Tocantins - PA;4828,4;13066;2064;6611;25103611,35;4478;298;186;NA;92;463;156;70;90342;52563
2017;1501600;Bonito - PA;20326,3;2585;23981;1724;3540399,78;2556;174;150;52164;734;350;67;101;67893;22620
2017;1501709;Bragança - PA;7921,2;7828;21667;4302;5061825,93;17408;158;97;55750;1659;856;218;368;100954;188255
2017;1501725;Brasil Novo - PA;10641,5;17404;9855;NA;9392345,13;7573;226;200;37697;330;586;146;113;111069;86126
2017;1501758;Brejo Grande do Araguaia - PA;2475,2;15014;7321;11252;18135143,73;2179;130;109;NA;40;320;45;21;52902;27152
2017;1501782;Breu Branco - PA;9102,2;12318;4341;5767;3387977,87;9098;281;221;18452;585;194;190;213;83585;131218
2017;1501808;Breves - PA;65490,3;707;7110;180;3463124,00;16659;NA;NA;32203;145;12;48;16;94601;44858
2017;1501907;Bujaru - PA;7307,7;872;5231;557;830541,40;7389;58;48;44232;260;76;106;113;67866;307718
2017;1501956;Cachoeira do Piriá - PA;8110,7;3228;2620;2271;3476574,83;4552;49;44;9696;85;72;35;8;30531;42532
2017;1502004;Cachoeira do Arari - PA;9275,5;3116;6609;3508;95000,00;2595;47;32;25499;85;7;34;23;35008;58862
2017;1502103;Cametá - PA;16797,4;6663;13081;3329;3524814,48;48246;75;72;147670;1659;256;377;539;138359;366372
2017;1502152;Canaã dos Carajás - PA;7667,6;15812;3188;9565;3573110,25;3467;166;114;8534;419;532;156;57;141237;65250
2017;1502202;Capanema - PA;2059,6;1829;2089;NA;6527905,95;3042;88;65;6720;440;159;115;64;14847;25365
2017;1502301;Capitão Poço - PA;18229,3;11148;26127;7445;11224222,51;8399;473;396;70638;1612;926;319;320;102739;100979
2017;1502400;Castanhal - PA;4605,8;14554;10696;NA;3190374,53;3461;278;254;29032;882;540;152;270;86022;103397
2017;1502509;Chaves - PA;7224,2;2055;NA;NA;1232015,38;5994;24;24;NA;37;63;221;5;46425;72242
2017;1502608;Colares - PA;635,3;697;1407;403;27500,00;1760;4;4;2628;36;16;18;13;3864;13843
2017;1502707;Conceição do Araguaia - PA;14304,4;19029;11542;12883;20840401,15;10171;425;310;25177;869;791;398;223;84323;82467
2017;1502756;Concórdia do Pará - PA;9449,2;3265;12824;NA;1616092,99;5254;85;73;23325;469;232;87;100;36921;63211
2017;1502764;Cumaru do Norte - PA;9720,4;51067;11346;NA;149635557,75;3939;540;411;38969;62;249;56;30;220575;188215
2017;1502772;Curionópolis - PA;2079,9;15011;454;NA;40880304,74;1483;198;164;516;84;194;115;26;191275;65819
2017;1502806;Curralinho - PA;18301,3;3425;1303;NA;NA;11865;NA;NA;7427;10;4;24;6;140095;418604
2017;1502855;Curuá - PA;950,5;NA;2648;NA;20000,00;2380;31;21;2296;1;14;113;2;12294;33175
2017;1502905;Curuçá - PA;1075,6;3589;2865;NA;58000,00;2549;29;24;10527;376;158;46;50;20346;67561
2017;1502939;Dom Eliseu - PA;65536,1;142070;170160;166995;45354446,27;3022;609;363;199884;359;299;148;266;275324;151792
2017;1502954;Eldorado do Carajás - PA;2745,7;13409;1912;8582;24638162,00;8758;207;162;3352;197;1006;134;44;118022;92793
2017;1503002;Faro - PA;126,5;NA;NA;NA;49336,36;333;NA;NA;NA;2;1;4;2;1727;9676
2017;1503044;Floresta do Araguaia - PA;11737,2;13490;17189;NA;21318175,16;5084;242;172;NA;712;649;45;53;109737;103666
2017;1503077;Garrafão do Norte - PA;12175,6;4780;29950;2526;2932024,39;5825;159;130;28476;903;317;53;84;39147;76961
2017;1503093;Goianésia do Pará - PA;5284,0;18151;4422;NA;12108760,13;4068;459;318;16546;185;147;121;113;99945;98149
2017;1503101;Gurupá - PA;1818,6;549;1012;NA;1757462,67;5283;NA;NA;4470;24;18;73;20;27195;50468
2017;1503200;Igarapé-Açu - PA;14044,7;7452;17261;6019;3419422,86;5880;320;297;53628;1342;682;145;471;56285;58689
2017;1503309;Igarapé-Miri - PA;24822,4;1822;19570;589;450123,96;14786;22;19;78631;763;27;52;21;89687;112592
2017;1503408;Inhangapi - PA;1424,5;1626;1813;NA;590651,15;1837;56;47;9768;148;75;158;67;25641;45084
2017;1503457;Ipixuna do Pará - PA;14919,0;16559;16131;13847;6328443,32;6872;388;256;66094;440;361;173;163;125228;85130
2017;1503507;Irituia - PA;7394,6;5417;5902;NA;2460345,35;7984;139;88;45747;476;337;142;147;53672;37908
2017;1503606;Itaituba - PA;5259,9;7894;2806;NA;5699482,55;5288;215;188;9879;188;130;71;48;44797;182798
2017;1503705;Itupiranga - PA;5806,1;25506;3141;15922;38926522,15;13382;323;262;18987;116;1579;307;72;245952;211097
2017;1503754;Jacareacanga - PA;15230,3;NA;425;NA;934200,00;2286;172;164;3528;4;2;5;1;41238;50137
2017;1503804;Jacundá - PA;386,0;8711;207;4193;9196510,90;2408;132;93;494;98;56;28;43;31656;61167
2017;1503903;Juruti - PA;2339,9;1311;2033;NA;266070,87;6664;22;15;10953;45;41;93;18;16960;132982
2017;1504000;Limoeiro do Ajuru - PA;2344,8;985;167;NA;212019,85;14121;NA;NA;3023;257;6;161;4;52973;313835
2017;1504059;Mãe do Rio - PA;2558,2;4719;4034;3364;18520594,55;2659;96;66;9627;164;62;49;52;29793;24225
2017;1504109;Magalhães Barata - PA;937,9;410;1007;NA;539833,86;1467;13;9;5374;131;36;36;43;5361;24009
2017;1504208;Marabá - PA;10879,7;47796;9121;24546;95310614,83;16460;730;530;23306;432;1580;304;283;373471;376519
2017;1504307;Maracanã - PA;4018,8;2140;3872;1592;215780,67;6155;50;48;20845;598;258;41;113;30228;58194
2017;1504406;Marapanim - PA;1632,5;1700;2640;1271;152145,23;3630;19;19;11527;335;196;46;84;20844;49135
2017;1504422;Marituba - PA;NA;NA;184;NA;19790,00;105;NA;NA;2375;13;2;6;5;2331;1990
2017;1504455;Medicilândia - PA;28231,4;12379;50858;5976;9956118,79;13078;280;277;146752;745;790;77;418;189170;320572
2017;1504505;Melgaço - PA;59,4;NA;1045;NA;NA;7539;4;NA;4315;6;2;7;1;10728;25238
2017;1504604;Mocajuba - PA;5330,6;1150;3659;644;827273,04;6351;26;25;19583;302;134;27;123;19931;108751
2017;1504703;Moju - PA;58673,8;40093;116185;36665;16540178,01;23091;582;481;232004;1384;578;383;287;290473;250743
2017;1504752;Mojuí dos Campos - PA;21672,9;27642;36963;27188;9967755,00;4439;315;166;65134;686;129;94;148;74192;44154
