Ano;Código do Município;Município;"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)";"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)";Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto;Atividade com terceiro maior valor adicionado bruto
2017;3160009;Santo Antônio do Aventureiro;9367.14;44597.94;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3160108;Santo Antônio do Grama;10165.89;70856.02;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
2017;3160207;Santo Antônio do Itambé;3798.90;34640.74;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3160306;Santo Antônio do Jacinto;6930.23;89128.50;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3160405;Santo Antônio do Monte;142964.32;529044.12;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3160454;Santo Antônio do Retiro;3243.96;48678.37;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3160504;Santo Antônio do Rio Abaixo;2200.49;22201.28;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3160603;Santo Hipólito;5560.52;33654.44;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3160702;Santos Dumont;12587.86;906123.32;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3160801;São Bento Abade;13305.91;60871.63;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3160900;São Brás do Suaçuí;1827.54;51230.22;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Construção
2017;3160959;São Domingos das Dores;11536.01;66633.53;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3161007;São Domingos do Prata;22568.22;241203.89;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3161056;São Félix de Minas;3425.81;35929.14;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3161106;São Francisco;39801.88;495013.34;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3161205;São Francisco de Paula;25114.11;96227.94;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3161304;São Francisco de Sales;61517.49;144457.74;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3161403;São Francisco do Glória;7349.65;53371.52;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3161502;São Geraldo;8759.14;204659.15;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3161601;São Geraldo da Piedade;3395.94;36105.03;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3161650;São Geraldo do Baixio;4257.33;37034.78;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3161700;São Gonçalo do Abaeté;49138.67;211087.23;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3161809;São Gonçalo do Pará;15087.95;232680.91;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3161908;São Gonçalo do Rio Abaixo;6325.66;3125581.43;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3162005;São Gonçalo do Sapucaí;59457.46;612130.14;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3162104;São Gotardo;60137.56;757618.59;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3162203;São João Batista do Glória;44659.67;140980.85;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3162252;São João da Lagoa;8572.35;42221.37;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3162302;São João da Mata;10659.45;42207.07;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3162401;São João da Ponte;16221.70;195981.38;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3162450;São João das Missões;4878.80;78290.51;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3162500;São João del Rei;82661.71;2033469.92;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3162559;São João do Manhuaçu;26003.41;148526.16;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3162575;São João do Manteninha;3275.72;54143.04;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3162609;São João do Oriente;4667.36;79678.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;3162658;São João do Pacuí;3973.93;33974.04;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3162708;São João do Paraíso;35139.02;200161.15;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3162807;São João Evangelista;15037.99;169054.46;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3162906;São João Nepomuceno;12352.41;413804.04;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3162922;São Joaquim de Bicas;31377.30;602810.63;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
2017;3162948;São José da Barra;35111.14;685066.22;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3162955;São José da Lapa;10483.65;490896.14;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3163003;São José da Safira;1712.55;38415.40;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3163102;São José da Varginha;39428.87;83215.67;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;3163201;São José do Alegre;4205.75;42758.47;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3163300;São José do Divino;3979.60;36654.54;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3163409;São José do Goiabal;7964.47;54074.28;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3163508;São José do Jacuri;11526.02;64896.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;3163607;São José do Mantimento;5566.76;31435.39;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3163706;São Lourenço;1653.83;977054.60;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3163805;São Miguel do Anta;19407.41;77372.52;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3163904;São Pedro da União;36388.60;98054.67;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3164001;São Pedro dos Ferros;18564.03;110094.20;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3164100;São Pedro do Suaçuí;5387.25;57937.65;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3164209;São Romão;50120.38;142497.08;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;3164308;São Roque de Minas;73223.73;193996.49;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
2017;3164407;São Sebastião da Bela Vista;11114.31;339818.66;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Indústrias de transformação
2017;3164431;São Sebastião da Vargem Alegre;5406.39;46151.75;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
2017;3164472;São Sebastião do Anta;16875.95;68162.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3164506;São Sebastião do Maranhão;10241.88;73153.55;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3164605;São Sebastião do Oeste;46443.48;301817.47;Indústrias de transformação;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3164704;São Sebastião do Paraíso;122943.61;1937800.82;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
2017;3164803;São Sebastião do Rio Preto;2179.17;18766.65;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3164902;São Sebastião do Rio Verde;3387.96;27161.58;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3165008;São Tiago;29793.81;161471.44;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2017;3165107;São Tomás de Aquino;46687.62;138380.66;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3165206;São Tomé das Letras;10184.84;89577.21;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3165305;São Vicente de Minas;34438.19;163001.54;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3165404;Sapucaí-Mirim;9366.93;97188.14;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3165503;Sardoá;9343.82;58900.76;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3165537;Sarzedo;1851.69;895183.60;Demais serviços;Indústrias extrativas;Administração, defesa, educação e saúde públicas e seguridade social
2017;3165552;Setubinha;23106.47;86745.11;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3165560;Sem-Peixe;3562.63;29916.55;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3165578;Senador Amaral;7474.12;55958.10;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3165602;Senador Cortes;2502.34;26799.28;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3165701;Senador Firmino;4214.29;72191.20;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3165800;Senador José Bento;4801.17;22673.66;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3165909;Senador Modestino Gonçalves;53610.50;92083.90;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;3166006;Senhora de Oliveira;12858.94;68278.97;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3166105;Senhora do Porto;5747.32;37486.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3166204;Senhora dos Remédios;9019.79;79253.92;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3166303;Sericita;12666.47;70905.61;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3166402;Seritinga;8284.35;33079.59;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3166501;Serra Azul de Minas;2897.54;31825.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3166600;Serra da Saudade;3896.37;19080.23;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3166709;Serra dos Aimorés;10453.17;83634.36;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;3166808;Serra do Salitre;150045.70;345011.44;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3166907;Serrania;29317.96;124618.55;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3166956;Serranópolis de Minas;2830.13;34898.42;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3167004;Serranos;6913.01;27789.84;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
